Group,Customer_Segment,Sales_Before,Sales_After,Customer_Satisfaction_Before,Customer_Satisfaction_After,Purchase_Made
Treatment,High Value,188.76,310.38,74.3,100.0,Yes
Control,Low Value,179.84,218.95,65.0,76.0,Yes
Control,Low Value,140.08,178.95,58.2,56.0,
Treatment,,218.04,332.85,55.0,66.1,No
Treatment,,241.54,387.13,85.1,99.4,No
Control,,176.3,280.53,69.2,61.7,Yes
Treatment,,136.93,219.56,80.9,79.7,No
Control,,203.44,243.94,83.9,71.1,Yes
Control,High Value,195.87,242.82,83.5,83.5,No
Treatment,High Value,163.52,252.59,86.3,100.0,Yes
Control,Medium Value,172.33,201.19,64.0,82.6,No
Control,,119.75,143.04,75.9,100.0,No
,,194.8,303.26,52.0,61.1,No
Treatment,Low Value,203.79,301.7,61.2,73.9,Yes
,High Value,195.07,243.29,78.2,100.0,No
Treatment,,217.67,337.32,79.9,99.6,Yes
Treatment,Medium Value,188.11,304.95,62.7,63.1,
Treatment,Medium Value,257.56,411.62,68.5,75.1,No
Treatment,High Value,125.42,210.22,100.0,73.9,
Control,High Value,203.96,246.67,95.4,73.9,No
Control,Low Value,203.79,261.42,54.9,61.7,Yes
Control,,253.15,305.95,74.0,82.5,No
Treatment,Low Value,204.18,329.64,70.3,73.9,No
Treatment,Low Value,122.15,207.24,44.9,53.7,No
Treatment,Medium Value,96.85,165.9,70.3,76.8,Yes
Treatment,High Value,183.14,290.4,91.1,100.0,Yes
Treatment,High Value,206.48,318.09,57.0,73.9,Yes
Treatment,Low Value,197.92,306.56,53.3,65.1,No
Treatment,Low Value,106.55,163.79,44.4,47.9,Yes
Control,Low Value,195.67,234.6,51.8,63.9,No
,,203.36,75.68,70.3,73.9,
,Medium Value,144.97,236.48,58.8,48.6,Yes
Treatment,Low Value,190.77,307.87,51.3,57.5,
Treatment,Low Value,103.03,172.31,48.9,44.5,Yes
Control,High Value,142.16,181.08,70.3,100.0,Yes
Control,High Value,170.68,208.38,80.9,99.0,No
,High Value,206.93,280.53,87.6,100.0,No
Treatment,,203.79,201.28,76.5,73.9,No
Control,Medium Value,186.53,229.7,76.5,75.7,No
Control,,173.02,210.49,75.7,90.6,Yes
Control,High Value,262.07,318.73,82.7,98.1,Yes
Control,Low Value,141.09,171.01,63.3,63.1,No
Treatment,Low Value,174.0,263.34,53.1,57.7,No
Control,Medium Value,177.86,215.78,77.2,73.9,
Control,Medium Value,203.79,202.6,88.8,98.8,Yes
Treatment,Low Value,203.79,317.45,51.0,53.1,No
Control,,203.79,280.53,94.9,100.0,Yes
Control,Low Value,203.79,162.78,59.3,61.3,
Control,Medium Value,194.41,234.22,53.7,57.9,Yes
,Medium Value,137.17,206.38,72.0,73.9,
Control,,201.32,248.93,63.8,66.8,Yes
Treatment,Low Value,176.1,272.99,70.3,30.2,No
,Low Value,141.82,228.6,50.8,59.8,Yes
Control,Medium Value,203.79,240.02,69.0,72.1,No
Control,High Value,203.79,272.15,84.4,100.0,No
Control,,209.32,256.28,49.8,46.8,Yes
Control,Medium Value,198.23,252.99,56.6,59.0,Yes
Treatment,,228.07,358.19,72.0,74.2,Yes
Control,Medium Value,268.9,333.33,61.0,53.6,Yes
Control,Low Value,120.17,149.28,70.3,53.9,Yes
,,216.9,265.56,36.7,30.8,Yes
Treatment,,145.63,232.09,67.0,81.1,No
Control,Medium Value,143.62,182.07,82.9,98.5,No
Control,Low Value,168.63,205.09,51.8,73.9,Yes
,,151.35,246.1,76.3,73.9,Yes
,Medium Value,203.79,230.09,59.6,76.4,No
Control,High Value,193.38,243.31,59.8,95.5,Yes
Control,Low Value,147.35,183.53,47.0,73.9,No
,Low Value,129.77,163.52,36.8,73.9,No
Control,,121.89,150.45,61.2,65.6,No
Control,Medium Value,261.43,315.11,79.4,73.9,Yes
Treatment,High Value,132.84,215.85,70.3,73.9,No
Treatment,,190.96,306.6,100.0,100.0,Yes
Control,High Value,259.17,317.66,92.8,95.0,Yes
Control,High Value,238.5,298.13,70.3,100.0,
Treatment,High Value,209.84,333.37,83.6,82.5,No
Control,High Value,154.94,181.2,67.7,71.0,No
Control,Medium Value,203.79,243.77,58.1,62.8,No
Control,,129.42,160.97,100.0,100.0,Yes
Control,Medium Value,160.61,203.04,70.3,64.5,No
Control,,162.8,198.07,70.3,68.1,No
Treatment,Low Value,158.61,265.6,56.6,56.4,No
Control,Medium Value,140.68,173.82,52.1,73.1,No
Control,Medium Value,89.06,125.63,71.2,67.3,No
Control,High Value,273.73,332.3,81.0,76.7,Yes
Treatment,Medium Value,235.14,384.64,75.3,85.0,Yes
Treatment,High Value,249.07,390.68,70.3,86.5,Yes
Treatment,High Value,222.74,362.61,94.0,100.0,Yes
,High Value,220.5,354.95,64.6,88.7,Yes
Control,Low Value,140.59,174.28,52.9,73.9,No
Treatment,High Value,161.98,261.51,70.3,97.8,Yes
Control,Medium Value,260.87,325.81,73.1,56.6,
Control,High Value,292.67,354.53,81.1,92.2,No
Treatment,High Value,190.59,304.15,74.9,73.9,No
Treatment,High Value,188.95,324.61,83.6,100.0,No
Treatment,Low Value,194.21,311.67,61.6,47.0,Yes
Treatment,Medium Value,180.64,296.99,61.2,73.9,
Treatment,Low Value,173.33,273.45,52.3,46.7,No
Control,Medium Value,203.79,219.66,60.7,66.0,Yes
Treatment,Low Value,203.79,182.75,38.1,40.4,No
Treatment,Medium Value,203.79,258.66,70.3,70.8,No
Treatment,Low Value,161.03,254.59,70.3,76.0,No
Control,High Value,203.79,75.68,68.7,90.2,Yes
,Low Value,169.23,255.95,59.2,73.9,No
Control,Low Value,268.11,314.71,33.9,29.0,No
,High Value,176.28,283.85,70.3,84.5,Yes
Treatment,,198.36,305.88,70.3,83.5,Yes
Control,Medium Value,131.94,151.73,73.0,79.2,Yes
Treatment,Medium Value,119.75,280.53,62.0,60.4,No
Control,Medium Value,168.06,193.99,61.6,80.5,No
Control,Low Value,190.45,228.79,42.7,51.6,Yes
Control,Medium Value,167.65,201.15,46.6,63.4,No
Treatment,Low Value,143.3,231.86,49.4,54.9,Yes
Treatment,Low Value,182.96,291.27,46.5,45.1,No
Treatment,Medium Value,203.79,305.95,63.3,83.3,
Control,Medium Value,192.33,238.84,63.6,78.3,
Treatment,Low Value,209.59,322.72,70.3,73.9,Yes
Control,High Value,260.67,313.98,85.9,100.0,No
Treatment,,279.19,434.32,70.3,85.7,No
,Low Value,107.6,132.39,70.3,66.0,No
Control,Medium Value,230.91,268.38,91.5,96.3,Yes
Control,Low Value,236.01,299.41,52.9,53.0,No
Treatment,Low Value,203.79,147.4,61.3,73.9,No
Control,,173.17,214.17,70.6,73.9,Yes
Control,High Value,166.97,191.03,91.1,100.0,No
Control,Low Value,163.68,201.22,49.5,44.5,Yes
Control,,252.62,306.02,84.1,83.6,Yes
Control,High Value,203.79,158.8,74.8,72.2,No
,Medium Value,192.8,233.58,82.0,71.1,Yes
,,136.82,215.57,58.8,70.0,Yes
Treatment,Low Value,219.69,346.98,53.7,71.0,No
,High Value,223.04,281.39,74.0,55.9,Yes
Treatment,High Value,197.48,299.97,84.6,96.2,No
Treatment,Medium Value,139.2,208.45,77.2,71.9,No
Control,,316.72,403.22,100.0,100.0,Yes
Control,Medium Value,203.79,243.99,67.0,88.2,Yes
,Low Value,93.37,120.95,61.3,72.2,Yes
Treatment,Medium Value,144.29,220.64,70.4,65.3,No
Control,High Value,233.5,274.98,100.0,98.9,Yes
Treatment,Low Value,129.13,212.99,35.6,73.9,No
Control,Medium Value,152.23,177.79,61.1,71.8,No
Treatment,Low Value,206.81,325.23,53.4,73.9,No
Control,Medium Value,221.39,266.28,70.2,64.8,No
Control,High Value,156.69,280.53,89.7,95.7,Yes
Treatment,,258.61,407.69,70.3,92.9,Yes
Treatment,Low Value,123.85,207.02,70.3,42.4,No
Treatment,Low Value,245.92,391.6,38.1,42.5,No
Treatment,Low Value,185.75,291.03,53.8,73.9,No
Treatment,,192.87,301.43,56.7,53.1,Yes
Treatment,High Value,181.8,289.98,80.3,100.0,Yes
Control,Low Value,129.66,159.66,57.8,64.4,Yes
Treatment,Low Value,88.04,85.19,50.4,67.3,Yes
Control,Low Value,149.15,185.64,48.1,45.1,
Control,Medium Value,184.69,225.83,70.3,60.1,No
Treatment,Low Value,88.04,280.53,62.9,64.4,Yes
Control,Low Value,200.25,241.89,57.7,53.9,Yes
Treatment,Medium Value,172.47,278.28,64.6,73.9,Yes
Treatment,Medium Value,242.83,375.54,56.9,51.7,Yes
Control,Low Value,132.23,280.53,47.0,61.0,Yes
Control,Low Value,213.11,252.25,42.9,43.1,Yes
Treatment,Medium Value,157.88,248.58,64.4,73.9,
Treatment,High Value,189.47,280.53,100.0,73.9,No
Control,Medium Value,191.29,226.71,78.7,83.4,Yes
,High Value,193.2,236.21,99.6,100.0,
Control,Low Value,187.18,228.23,41.8,42.2,
Control,Low Value,88.04,99.09,44.4,51.4,
Treatment,,182.77,298.68,95.6,100.0,Yes
Treatment,Medium Value,175.43,262.88,73.3,71.1,Yes
Treatment,Low Value,88.04,123.79,47.8,39.4,No
Treatment,High Value,242.63,366.91,94.0,73.9,Yes
Control,Medium Value,131.62,165.41,73.2,78.9,No
Control,High Value,241.3,297.63,66.8,46.8,Yes
Treatment,,188.49,291.21,46.5,50.5,No
Treatment,Medium Value,144.54,233.33,66.1,74.2,Yes
,Medium Value,228.19,352.9,46.9,39.5,No
Treatment,Medium Value,203.85,316.9,79.5,80.3,Yes
Treatment,,199.89,318.2,91.5,100.0,Yes
Treatment,High Value,203.79,436.33,82.7,73.9,Yes
Treatment,High Value,184.72,300.36,69.1,80.9,Yes
Treatment,High Value,249.58,388.15,73.9,80.7,Yes
Treatment,High Value,177.87,287.55,49.5,53.8,Yes
Control,Medium Value,272.19,323.04,70.3,99.8,No
,Low Value,211.05,318.75,54.0,62.6,No
Control,Low Value,185.26,216.41,51.8,73.9,No
Control,High Value,88.04,75.68,100.0,100.0,Yes
Treatment,High Value,225.01,362.43,73.1,100.0,No
Treatment,Low Value,108.6,177.99,49.6,55.2,Yes
Control,Medium Value,189.94,230.55,62.1,47.6,No
Control,,268.72,312.7,100.0,100.0,Yes
Treatment,Medium Value,217.0,358.22,67.1,69.8,No
Control,Low Value,204.06,240.02,70.3,73.9,No
Treatment,Low Value,142.26,229.14,64.8,73.9,No
Treatment,High Value,110.73,174.82,99.3,90.9,
Treatment,Medium Value,138.74,224.8,51.7,58.2,Yes
Control,High Value,183.0,232.87,83.1,73.9,Yes
Control,Low Value,166.16,204.0,52.4,69.0,No
,Medium Value,203.79,387.73,68.8,72.0,Yes
Control,High Value,243.36,317.14,88.4,100.0,Yes
,High Value,316.72,396.37,74.3,79.4,
,High Value,142.46,164.31,100.0,100.0,No
Control,Low Value,213.6,244.7,54.2,57.5,Yes
Control,High Value,250.45,308.49,94.2,76.1,Yes
Control,,175.99,212.3,81.1,99.2,
Control,High Value,203.79,199.14,90.1,100.0,No
,Low Value,130.67,190.18,49.5,53.8,No
Control,High Value,164.57,209.71,82.1,79.1,No
Control,Low Value,236.8,287.16,49.9,46.5,Yes
Control,Low Value,195.57,280.53,70.3,73.9,
Control,Medium Value,223.44,272.07,49.4,52.8,Yes
Control,Medium Value,185.28,229.58,59.8,70.9,No
Control,High Value,203.79,243.77,71.2,83.1,No
Control,Low Value,176.56,212.91,36.5,33.9,
Control,Low Value,161.75,199.28,51.6,73.9,Yes
Treatment,Medium Value,176.79,278.46,69.6,73.9,Yes
Control,Medium Value,188.24,226.21,70.3,60.8,No
,High Value,139.13,173.8,83.8,94.8,
Control,,203.85,243.77,70.3,49.6,Yes
Control,Medium Value,203.79,220.81,65.3,79.1,No
Treatment,High Value,203.79,248.17,85.2,73.9,Yes
Treatment,Low Value,188.79,299.2,49.5,73.9,No
Treatment,Low Value,242.33,381.3,56.5,60.5,No
,Medium Value,240.34,362.17,67.5,76.4,Yes
Treatment,High Value,176.56,270.31,70.3,63.5,No
Treatment,Medium Value,215.02,320.12,62.9,73.9,Yes
Treatment,High Value,237.7,377.35,76.1,79.9,No
Treatment,Low Value,203.79,280.53,56.1,61.1,No
Treatment,High Value,191.52,301.59,92.3,100.0,No
Treatment,High Value,220.21,360.86,85.2,92.9,Yes
Treatment,High Value,316.72,477.37,94.7,93.4,
Treatment,,205.33,328.51,70.3,73.9,Yes
Treatment,High Value,118.45,186.18,88.3,93.4,No
Treatment,,127.35,197.93,62.8,72.3,Yes
Treatment,High Value,188.98,287.85,100.0,100.0,Yes
Treatment,,130.94,216.23,87.9,92.9,Yes
Control,Low Value,154.3,197.23,55.2,51.2,Yes
,High Value,316.72,477.37,85.4,92.6,Yes
Control,Low Value,140.9,166.07,70.3,51.1,Yes
Treatment,,131.12,219.69,71.6,64.4,Yes
Treatment,Medium Value,160.19,253.73,70.3,46.3,No
Control,High Value,190.6,242.99,89.9,78.9,Yes
Treatment,Medium Value,203.79,214.01,61.4,73.9,Yes
Control,High Value,203.79,156.7,70.3,100.0,Yes
Control,Medium Value,256.75,314.13,61.3,73.9,No
Control,High Value,222.42,259.79,70.3,100.0,Yes
Treatment,High Value,171.58,262.21,70.3,69.0,
Treatment,Low Value,112.79,176.07,70.3,36.5,No
Treatment,Low Value,136.36,214.71,47.3,49.6,Yes
,Low Value,98.85,122.81,44.9,73.9,Yes
Control,,134.31,162.15,45.7,47.0,No
Treatment,High Value,316.72,477.37,69.6,84.7,Yes
Treatment,Medium Value,190.61,312.35,64.0,63.2,
Treatment,,159.76,266.7,70.3,92.2,Yes
Treatment,Low Value,197.04,316.33,44.6,53.3,Yes
Treatment,Low Value,118.99,185.01,52.4,44.8,No
,Medium Value,157.54,195.54,71.8,82.7,Yes
Control,Low Value,88.04,106.08,70.3,54.8,No
Control,,272.7,329.9,70.0,74.5,Yes
Treatment,High Value,203.79,329.95,64.2,87.2,No
Control,High Value,157.91,206.87,94.8,73.9,Yes
Control,High Value,240.49,299.49,100.0,91.7,No
Control,High Value,138.02,174.13,100.0,100.0,No
Control,Medium Value,125.93,157.17,70.3,68.8,Yes
Control,High Value,177.92,222.1,90.0,73.9,Yes
Treatment,Low Value,108.95,177.55,50.2,43.9,No
Control,Low Value,128.12,150.51,49.6,45.7,Yes
Treatment,,203.79,252.28,46.0,47.2,Yes
Treatment,Low Value,159.3,253.71,44.2,50.1,Yes
Treatment,Medium Value,115.97,205.45,50.3,46.8,Yes
,Low Value,153.64,264.11,57.5,53.8,No
Treatment,Medium Value,210.9,332.09,74.9,73.9,
,Low Value,88.06,110.32,72.2,27.6,Yes
Control,,152.99,280.53,80.7,81.5,No
Treatment,,165.01,254.91,89.3,86.6,Yes
Treatment,Medium Value,203.79,280.63,51.4,69.7,No
Treatment,,203.79,160.54,56.7,40.2,Yes
Control,,203.79,178.68,70.3,76.8,Yes
Treatment,High Value,237.19,365.8,100.0,100.0,No
Control,High Value,259.24,295.32,77.9,56.4,No
Treatment,Low Value,176.13,270.95,59.9,50.2,
Control,High Value,203.36,75.68,96.1,84.3,Yes
Treatment,High Value,157.8,264.42,99.9,92.7,Yes
Control,High Value,227.51,264.01,75.9,96.5,Yes
Treatment,Low Value,243.77,375.23,47.4,51.9,Yes
Control,Low Value,169.87,214.13,56.6,74.7,Yes
Control,High Value,206.57,246.41,100.0,100.0,No
,Low Value,152.61,184.09,52.9,54.1,Yes
Control,Medium Value,113.88,136.34,49.5,68.3,Yes
Control,,219.58,273.97,100.0,75.6,Yes
Control,,103.25,136.65,61.7,62.9,Yes
Control,Low Value,152.35,186.73,47.4,54.8,No
,,210.03,329.38,98.5,100.0,No
Treatment,Low Value,165.48,261.12,55.4,66.0,
Treatment,High Value,131.73,218.91,76.5,83.3,No
,,130.1,211.28,58.9,72.7,Yes
Treatment,Medium Value,203.79,331.85,66.0,84.6,No
,High Value,206.69,252.02,68.5,80.9,Yes
Control,Medium Value,148.66,177.88,78.3,73.4,No
Control,,144.99,173.76,100.0,100.0,
Control,Low Value,198.55,234.04,33.5,43.6,Yes
Control,Medium Value,179.27,226.04,70.0,72.4,Yes
Treatment,Low Value,104.62,151.5,54.1,63.8,No
Treatment,High Value,192.71,280.53,70.1,76.7,Yes
Treatment,High Value,156.59,249.61,98.6,98.8,Yes
Treatment,,209.9,332.18,73.3,81.0,Yes
,High Value,264.61,317.68,87.2,75.3,
Control,High Value,136.62,166.23,75.4,86.7,No
Control,Medium Value,181.04,231.94,58.2,73.9,No
Treatment,High Value,203.79,321.0,70.3,100.0,Yes
Control,,203.79,77.51,47.1,73.9,No
,Medium Value,203.79,350.04,70.3,100.0,No
Control,Low Value,253.67,304.02,70.3,46.6,Yes
,,203.79,237.23,97.6,100.0,Yes
Treatment,Low Value,232.78,371.47,59.1,60.5,No
Control,Medium Value,203.79,147.65,78.6,91.4,No
Control,Medium Value,140.79,172.23,65.7,74.8,No
Treatment,,185.53,303.73,70.3,66.0,
,Low Value,126.01,151.0,70.3,73.9,
Treatment,Medium Value,188.45,298.15,69.9,74.7,
Control,Low Value,204.04,246.81,46.1,36.5,Yes
Control,High Value,156.1,194.98,99.7,73.9,No
Control,,253.31,309.21,70.3,78.1,Yes
,Low Value,203.79,83.75,48.9,49.4,
Control,Medium Value,155.81,187.57,70.3,77.5,No
Control,Low Value,159.5,191.35,55.4,55.3,No
Control,,132.47,158.47,43.6,32.5,Yes
,Low Value,132.25,152.49,48.5,73.9,No
Treatment,High Value,279.34,442.89,70.3,89.2,No
Treatment,Low Value,216.56,337.55,50.6,50.1,Yes
,High Value,242.63,298.67,87.6,73.9,No
Control,Low Value,202.87,247.39,56.7,68.7,Yes
Treatment,High Value,157.71,248.24,85.4,82.6,Yes
Control,,203.79,125.87,52.3,44.3,
Control,,126.63,148.14,70.3,49.8,Yes
Treatment,Medium Value,144.55,231.55,82.5,73.9,Yes
Control,Medium Value,153.51,187.56,71.4,96.3,Yes
Control,Low Value,203.79,229.23,49.9,73.9,No
Treatment,Low Value,179.87,270.88,61.0,64.3,No
Control,,161.99,196.73,53.6,68.6,No
Control,Low Value,159.38,194.0,54.8,50.7,No
Treatment,Medium Value,229.41,371.68,70.3,79.5,Yes
Control,High Value,135.22,166.76,99.7,73.9,Yes
Treatment,,195.48,318.02,64.6,71.7,No
Control,,88.04,95.64,76.4,76.5,Yes
Control,Low Value,144.26,175.11,51.2,47.0,Yes
Treatment,Low Value,203.79,360.28,61.7,62.4,No
Treatment,High Value,207.18,326.38,81.4,87.0,No
Control,Low Value,203.79,280.53,46.3,37.8,No
Treatment,Low Value,209.81,337.94,70.3,73.9,Yes
Treatment,High Value,203.79,367.26,100.0,100.0,No
Control,High Value,229.79,270.9,86.4,74.7,No
,High Value,191.94,225.07,100.0,100.0,Yes
Control,High Value,255.48,309.12,67.6,73.9,No
Treatment,Medium Value,203.79,233.56,68.6,65.3,No
Treatment,Medium Value,145.2,236.79,59.0,67.2,Yes
,Medium Value,272.96,434.59,60.2,63.9,No
Treatment,Low Value,144.08,231.72,50.5,65.2,
Control,,90.17,108.57,100.0,100.0,Yes
Treatment,High Value,255.93,406.03,100.0,100.0,No
Control,Medium Value,254.28,311.02,82.0,79.0,No
Treatment,Low Value,151.56,238.45,55.2,54.3,Yes
Control,Low Value,88.04,79.75,49.2,73.9,Yes
Control,Low Value,203.79,193.37,54.2,54.8,No
Control,Medium Value,279.59,332.62,51.4,78.7,Yes
,Low Value,170.66,266.56,62.7,66.5,Yes
Control,,202.92,243.32,38.6,43.4,No
Control,,196.37,244.53,50.8,51.7,Yes
Treatment,High Value,253.41,396.12,84.9,78.6,No
Control,Medium Value,270.73,328.87,79.4,73.9,No
Treatment,High Value,256.95,411.97,89.8,99.0,Yes
Treatment,High Value,186.26,289.38,91.7,100.0,Yes
Control,Medium Value,124.0,157.99,45.1,46.0,Yes
Control,High Value,203.79,276.56,84.5,81.1,No
Treatment,,156.53,233.4,47.0,45.6,Yes
Control,Low Value,196.07,240.69,52.8,56.0,No
Treatment,Low Value,118.62,196.94,49.4,63.2,Yes
Treatment,Low Value,203.79,242.19,54.1,65.5,No
Treatment,,182.53,294.01,54.5,76.7,No
Control,High Value,148.45,173.4,70.2,79.2,Yes
Treatment,High Value,201.17,305.37,100.0,100.0,No
Control,,195.93,236.21,67.2,75.1,No
Control,Low Value,249.78,297.78,63.1,54.7,No
Control,High Value,161.21,200.05,70.3,83.8,Yes
Control,Medium Value,217.55,266.86,65.0,73.9,Yes
,High Value,88.04,157.12,81.4,80.8,Yes
Control,Low Value,161.39,201.5,70.3,43.3,Yes
Treatment,Low Value,167.2,261.0,70.3,76.0,
Treatment,Medium Value,227.63,360.41,70.3,72.1,Yes
Control,High Value,166.28,205.18,70.3,91.5,
Treatment,Medium Value,203.79,306.72,78.9,84.6,No
Treatment,Medium Value,233.87,353.08,70.3,68.0,No
,Low Value,108.59,131.22,58.0,69.3,Yes
Treatment,High Value,89.49,154.18,99.2,100.0,No
Treatment,Low Value,214.95,342.59,50.8,43.2,Yes
Treatment,High Value,138.49,221.82,70.7,65.7,No
Treatment,,185.4,289.94,53.3,49.3,Yes
Control,Low Value,243.06,294.36,70.3,50.2,No
,,242.07,383.42,70.3,90.8,No
Treatment,,143.92,221.95,100.0,100.0,No
,,104.65,169.61,54.0,60.6,Yes
Treatment,High Value,154.84,247.59,100.0,100.0,Yes
Control,Low Value,160.87,194.14,54.0,58.1,No
Treatment,High Value,203.79,273.92,80.6,73.9,No
Control,Low Value,224.4,265.81,70.3,73.9,No
Treatment,Low Value,195.74,317.75,53.6,66.7,Yes
Control,Low Value,131.78,164.28,44.4,52.9,Yes
Control,Medium Value,224.23,280.53,72.4,79.3,Yes
Control,High Value,203.79,280.53,85.0,96.3,Yes
Control,Low Value,146.4,163.82,70.3,37.4,
Control,Medium Value,209.55,265.64,68.6,57.8,Yes
Treatment,Low Value,203.79,166.91,52.0,73.9,No
Treatment,Medium Value,169.53,280.53,68.9,86.3,No
Treatment,,114.78,184.14,66.8,58.2,Yes
Control,Low Value,217.56,258.59,70.3,41.7,Yes
Treatment,Medium Value,155.82,248.82,70.3,76.4,Yes
Control,Medium Value,203.72,251.22,79.8,73.9,Yes
Control,High Value,203.79,282.2,71.5,80.0,Yes
Treatment,High Value,316.72,477.37,86.3,99.8,No
Treatment,,166.93,253.27,70.3,66.4,No
Control,High Value,148.35,174.98,88.5,75.6,Yes
Control,,184.36,217.23,68.6,64.5,
Treatment,High Value,150.87,228.17,92.8,93.3,No
Treatment,Low Value,138.95,222.35,35.4,53.1,Yes
Treatment,High Value,248.03,406.38,83.1,90.0,No
Treatment,Low Value,127.29,209.08,48.3,68.6,
Control,Low Value,203.79,221.7,70.3,56.3,No
Treatment,,203.79,370.34,96.4,96.0,Yes
Treatment,Medium Value,203.79,314.74,78.3,73.9,
Treatment,Low Value,195.17,304.04,60.4,61.0,No
Control,Low Value,203.79,185.57,58.4,54.5,Yes
Control,High Value,103.31,130.05,71.9,72.6,No
,Medium Value,173.02,206.57,70.7,78.4,No
Control,Medium Value,188.21,223.51,81.1,77.8,Yes
Treatment,High Value,203.79,286.37,53.0,55.4,Yes
Control,,203.85,243.77,83.0,73.9,Yes
Treatment,High Value,238.05,367.76,70.9,92.5,No
Treatment,,206.44,330.59,75.5,77.9,Yes
Treatment,High Value,214.07,342.35,94.6,73.9,No
Treatment,Low Value,221.79,280.53,67.1,69.7,Yes
Control,Low Value,114.95,143.09,44.0,51.0,Yes
Control,,154.32,191.41,46.2,50.5,Yes
Control,,246.05,303.18,100.0,100.0,Yes
Treatment,Low Value,181.34,285.15,52.0,53.9,No
Treatment,Low Value,142.86,229.3,49.6,66.1,Yes
Treatment,Low Value,177.65,282.72,55.0,52.0,
,High Value,170.22,271.47,100.0,100.0,No
Treatment,High Value,208.92,338.87,98.4,100.0,Yes
Control,High Value,238.16,283.3,70.3,95.1,No
Treatment,Low Value,215.04,333.6,70.3,61.1,No
Control,Medium Value,203.79,259.17,69.8,71.1,No
Treatment,Low Value,225.68,363.38,70.3,73.9,Yes
Treatment,Low Value,203.79,162.62,47.4,53.4,Yes
Control,High Value,88.04,80.72,86.0,93.0,Yes
,High Value,88.04,109.95,84.6,65.4,Yes
Treatment,Low Value,208.17,327.25,45.5,53.0,No
Treatment,,188.66,280.53,43.0,52.5,No
Treatment,,148.17,230.64,82.4,59.0,Yes
Treatment,Medium Value,162.64,259.12,70.3,73.9,No
Control,,213.42,262.54,100.0,73.9,No
Treatment,Medium Value,145.31,225.92,73.4,60.6,No
Control,Medium Value,132.96,160.51,70.2,66.6,Yes
Treatment,High Value,169.9,265.81,84.7,71.8,No
,Medium Value,143.42,179.53,79.5,75.5,Yes
Control,Low Value,170.33,214.95,41.4,48.4,Yes
Treatment,Medium Value,262.01,407.46,70.3,81.9,No
Control,High Value,141.38,183.03,98.1,100.0,No
Treatment,Low Value,203.79,249.73,50.4,73.9,No
Control,Medium Value,208.89,253.21,73.9,73.9,
Treatment,Low Value,203.79,289.45,70.3,49.3,No
Control,Low Value,143.49,169.96,51.3,45.8,Yes
Treatment,Medium Value,203.79,326.16,73.4,80.2,Yes
,Medium Value,192.69,297.1,70.3,75.1,No
Control,High Value,171.75,202.47,83.4,73.9,
Control,High Value,118.84,149.0,70.3,81.2,Yes
Control,Low Value,112.1,149.16,56.8,60.1,Yes
Control,High Value,203.79,243.77,87.0,76.9,
Treatment,,231.78,363.53,53.3,61.4,No
Control,,163.04,204.14,52.3,63.8,Yes
Treatment,High Value,275.87,426.37,68.8,96.0,No
Control,High Value,203.79,280.53,80.9,64.8,Yes
Treatment,High Value,142.09,209.51,96.0,73.9,Yes
Treatment,Medium Value,171.03,271.66,68.0,67.5,No
Treatment,Low Value,227.13,353.72,70.2,51.6,No
Treatment,,128.35,194.72,46.8,45.0,Yes
,Low Value,154.27,184.44,70.3,52.2,Yes
,High Value,261.62,323.48,96.7,73.9,No
Treatment,High Value,261.81,409.45,99.5,100.0,No
Control,,203.79,266.96,78.3,100.0,Yes
Control,High Value,232.99,286.14,100.0,100.0,No
Treatment,High Value,254.93,280.53,87.6,78.0,
,Medium Value,196.81,239.31,70.3,55.9,No
,High Value,276.76,340.17,86.4,92.9,Yes
Control,Low Value,195.28,238.83,41.9,52.7,No
Treatment,High Value,88.04,139.83,100.0,51.6,Yes
,Low Value,180.39,208.6,54.6,54.3,No
Treatment,High Value,175.21,275.13,67.0,88.9,Yes
,High Value,142.12,163.57,100.0,73.9,Yes
,Low Value,109.76,128.59,46.5,53.4,Yes
Control,Low Value,157.65,280.53,70.3,36.0,No
Treatment,Low Value,176.65,278.14,62.2,73.9,Yes
Treatment,Low Value,238.57,387.71,56.5,73.9,
,Medium Value,211.36,261.21,70.3,76.7,Yes
Treatment,Low Value,173.64,269.61,51.0,54.7,Yes
Control,,186.76,224.78,84.6,100.0,
,,177.88,287.61,64.4,73.9,Yes
,,188.87,303.04,55.3,59.3,Yes
Control,,158.84,280.53,57.9,73.9,No
Control,High Value,176.04,199.94,89.4,98.9,
Control,Medium Value,227.71,266.71,77.9,81.0,Yes
Control,High Value,157.75,188.64,100.0,73.9,No
Treatment,Medium Value,166.2,268.63,35.0,31.8,Yes
Treatment,Medium Value,146.07,238.24,70.3,57.8,No
Treatment,Low Value,164.3,239.58,42.9,42.3,Yes
Control,Medium Value,203.79,265.94,66.8,71.5,No
Control,High Value,219.09,270.1,64.4,83.8,No
Treatment,High Value,191.51,294.24,94.3,100.0,No
Control,,210.89,257.43,56.6,70.2,
Treatment,Low Value,203.79,319.11,70.7,76.0,No
Treatment,Medium Value,174.07,271.73,67.4,79.7,No
Treatment,,235.29,371.35,56.2,73.9,Yes
Treatment,,203.85,316.9,98.5,100.0,No
,High Value,223.05,357.04,100.0,100.0,
Control,Low Value,108.14,131.45,42.7,50.4,No
Control,Low Value,88.53,99.1,57.8,54.6,Yes
